Numéro Étudiant,Nom,Prénom,Age,Filière,Email
ST24802,Anderson,Sofia,25,Cybersécurité,sofia.anderson@student.edu
ST25858,Girard,Louis,22,Innovation Technologique,louis.girard@student.edu
ST22681,Anderson,Mia,35,Management International,mia.anderson@student.edu
ST26033,Garcia,Harper,23,Data Science,harper.garcia@student.edu
ST24539,Michel,Camille,29,Finance,camille.michel@student.edu
ST24996,Moore,Jules,24,Management International,jules.moore@student.edu
ST25802,François,Theodore,27,Cybersécurité,theodore.françois@student.edu
ST29897,Bernard,Louise,28,Entrepreneuriat,louise.bernard@student.edu
ST22965,Petit,Harper,21,Cybersécurité,harper.petit@student.edu
ST27358,Legrand,Henry,18,Data Science,henry.legrand@student.edu
ST26920,Williams,Léo,27,Business,léo.williams@student.edu
ST26789,Robert,Manon,33,Business,manon.robert@student.edu
ST25210,Michel,Hugo,22,Marketing Digital,hugo.michel@student.edu
ST28212,Moreau,Mia,30,Marketing Digital,mia.moreau@student.edu
ST23818,Thomas,Hugo,33,Innovation Technologique,hugo.thomas@student.edu
ST22577,David,Léa,25,Business,léa.david@student.edu
ST23496,Garnier,Elijah,22,Intelligence Artificielle,elijah.garnier@student.edu
ST23081,Thomas,Charlotte,20,Cybersécurité,charlotte.thomas@student.edu
ST22408,Morel,Liam,18,Marketing Digital,liam.morel@student.edu
ST24170,Andre,Nathan,29,Cybersécurité,nathan.andre@student.edu
ST26215,Bonnet,Liam,35,Marketing Digital,liam.bonnet@student.edu
ST21801,Girard,Louis,30,Marketing Digital,louis.girard@student.edu
ST25182,Bertrand,Arthur,29,Management International,arthur.bertrand@student.edu
ST20270,David,Sophia,24,Entrepreneuriat,sophia.david@student.edu
ST22422,David,Sofia,30,Innovation Technologique,sofia.david@student.edu
ST26447,Michel,Harper,34,Cybersécurité,harper.michel@student.edu
ST21652,Moore,Isabella,34,Business,isabella.moore@student.edu
ST24163,Mercier,Isabella,34,Entrepreneuriat,isabella.mercier@student.edu
ST20366,Taylor,James,27,Intelligence Artificielle,james.taylor@student.edu
ST21438,Fournier,Ethan,27,Management International,ethan.fournier@student.edu
ST21625,Laurent,Léo,19,Entrepreneuriat,léo.laurent@student.edu
ST28665,Laurent,Louise,29,Data Science,louise.laurent@student.edu
ST29985,Andre,Evelyn,20,Business,evelyn.andre@student.edu
ST27951,Legrand,Abigail,30,Innovation Technologique,abigail.legrand@student.edu
ST24123,Thomas,William,20,Innovation Technologique,william.thomas@student.edu
ST20650,Brown,Liam,31,Commerce International,liam.brown@student.edu
ST25855,Faure,Chloé,21,Innovation Technologique,chloé.faure@student.edu
ST27523,Wilson,Adam,24,Management International,adam.wilson@student.edu
ST29748,David,Léo,19,Innovation Technologique,léo.david@student.edu
ST23061,Michel,Clara,34,Marketing Digital,clara.michel@student.edu
ST21059,Simon,Liam,32,Entrepreneuriat,liam.simon@student.edu
ST27460,Moore,Olivia,30,Commerce International,olivia.moore@student.edu
ST29758,Garnier,Jules,21,Management International,jules.garnier@student.edu
ST23471,Anderson,Noah,23,Business,noah.anderson@student.edu
ST20311,Johnson,Noah,26,Marketing Digital,noah.johnson@student.edu
ST27009,Lefevre,Abigail,22,Intelligence Artificielle,abigail.lefevre@student.edu
ST21328,Andre,Mia,32,Business,mia.andre@student.edu
ST24753,Simon,Alice,33,Commerce International,alice.simon@student.edu
ST28902,Lefevre,Camille,25,Cybersécurité,camille.lefevre@student.edu
ST20303,Moreau,Jules,29,Data Science,jules.moreau@student.edu
ST26712,Lefevre,Louis,34,Entrepreneuriat,louis.lefevre@student.edu
ST26968,Vincent,Amelia,35,Data Science,amelia.vincent@student.edu
ST23601,Bernard,Amelia,34,Entrepreneuriat,amelia.bernard@student.edu
ST22164,Martinez,Léa,20,Business,léa.martinez@student.edu
ST26248,Lefebvre,Adam,32,Entrepreneuriat,adam.lefebvre@student.edu
ST23181,Martin,Noah,34,Intelligence Artificielle,noah.martin@student.edu
ST22803,Fournier,Ethan,32,Management International,ethan.fournier@student.edu
ST22311,Morel,Noah,30,Cybersécurité,noah.morel@student.edu
ST27841,Richard,Olivia,29,Innovation Technologique,olivia.richard@student.edu
ST23367,Vincent,Oliver,27,Finance,oliver.vincent@student.edu
ST23197,Williams,Harper,25,Intelligence Artificielle,harper.williams@student.edu
ST21269,Faure,Sarah,20,Data Science,sarah.faure@student.edu
ST28268,Miller,Camille,22,Data Science,camille.miller@student.edu
ST26262,Miller,Clara,21,Data Science,clara.miller@student.edu
ST23660,Garcia,Louis,21,Data Science,louis.garcia@student.edu
ST21261,Brown,Adam,22,Commerce International,adam.brown@student.edu
ST27164,Miller,Inès,30,Marketing Digital,inès.miller@student.edu
ST22818,Durand,Oliver,27,Finance,oliver.durand@student.edu
ST20018,Lefebvre,Camille,28,Data Science,camille.lefebvre@student.edu
ST27174,Williams,Emma,18,Marketing Digital,emma.williams@student.edu
ST27959,Dubois,Léa,31,Management International,léa.dubois@student.edu
ST26696,Miller,Charlotte,24,Cybersécurité,charlotte.miller@student.edu
ST20146,Williams,Lucas,35,Innovation Technologique,lucas.williams@student.edu
ST22112,Anderson,Inès,34,Innovation Technologique,inès.anderson@student.edu
ST25001,Wilson,Isabella,29,Intelligence Artificielle,isabella.wilson@student.edu
ST23247,Thomas,William,34,Commerce International,william.thomas@student.edu
ST24428,Moreau,Evelyn,27,Marketing Digital,evelyn.moreau@student.edu
ST25210,Moore,Ethan,18,Finance,ethan.moore@student.edu
ST29657,Petit,Ethan,22,Management International,ethan.petit@student.edu
ST21070,Bertrand,Manon,23,Intelligence Artificielle,manon.bertrand@student.edu
ST27035,Anderson,Gabriel,26,Entrepreneuriat,gabriel.anderson@student.edu
ST24015,Vincent,Jack,24,Business,jack.vincent@student.edu
ST27482,Lefevre,Olivia,25,Cybersécurité,olivia.lefevre@student.edu
ST25968,Garnier,Inès,30,Commerce International,inès.garnier@student.edu
ST27281,Wilson,Theodore,21,Finance,theodore.wilson@student.edu
ST25263,Brown,Inès,24,Management International,inès.brown@student.edu
ST29018,Bertrand,James,18,Data Science,james.bertrand@student.edu
ST26540,François,Arthur,32,Management International,arthur.françois@student.edu
ST20079,Andre,Benjamin,27,Cybersécurité,benjamin.andre@student.edu
ST25118,Bonnet,Abigail,26,Cybersécurité,abigail.bonnet@student.edu
ST21022,Lefebvre,Mia,27,Innovation Technologique,mia.lefebvre@student.edu
ST29956,Lefebvre,William,28,Data Science,william.lefebvre@student.edu
ST29727,Moore,Olivia,30,Entrepreneuriat,olivia.moore@student.edu
ST22307,Garnier,Inès,25,Entrepreneuriat,inès.garnier@student.edu
ST24493,Richard,Liam,30,Finance,liam.richard@student.edu
ST24572,Martin,Emma,31,Commerce International,emma.martin@student.edu
ST24990,François,Inès,29,Entrepreneuriat,inès.françois@student.edu
ST22687,Mercier,Camille,25,Commerce International,camille.mercier@student.edu
ST23123,Jones,Gabriel,28,Business,gabriel.jones@student.edu
ST23782,Legrand,Arthur,26,Intelligence Artificielle,arthur.legrand@student.edu
ST26520,Wilson,Liam,33,Commerce International,liam.wilson@student.edu
ST27455,Simon,Isabella,30,Intelligence Artificielle,isabella.simon@student.edu
ST28698,Lefebvre,Gabriel,18,Management International,gabriel.lefebvre@student.edu
ST27706,Taylor,Sarah,26,Marketing Digital,sarah.taylor@student.edu
ST21699,Garnier,Nathan,20,Data Science,nathan.garnier@student.edu
ST21613,Vincent,Sofia,32,Finance,sofia.vincent@student.edu
ST28726,Moreau,Amelia,29,Data Science,amelia.moreau@student.edu
ST27055,Andre,Clara,22,Cybersécurité,clara.andre@student.edu
ST28092,Moore,Manon,21,Data Science,manon.moore@student.edu
ST22469,David,Evelyn,21,Entrepreneuriat,evelyn.david@student.edu
ST22489,Wilson,Jules,21,Finance,jules.wilson@student.edu
ST25512,Laurent,Léo,35,Finance,léo.laurent@student.edu
ST28040,Legrand,Emma,29,Intelligence Artificielle,emma.legrand@student.edu
ST21562,Robert,Manon,27,Management International,manon.robert@student.edu
ST27211,Martinez,William,32,Commerce International,william.martinez@student.edu
ST23183,Jones,Charlotte,31,Finance,charlotte.jones@student.edu
ST28529,Richard,Henry,27,Management International,henry.richard@student.edu
ST27505,Petit,Charlotte,24,Cybersécurité,charlotte.petit@student.edu
ST28048,Morel,Léo,19,Business,léo.morel@student.edu
ST29428,Laurent,Nathan,20,Management International,nathan.laurent@student.edu
ST28772,Faure,Mia,25,Business,mia.faure@student.edu
ST22218,Martinez,Jules,27,Innovation Technologique,jules.martinez@student.edu
ST24628,Laurent,Louise,34,Commerce International,louise.laurent@student.edu
ST28716,Fournier,James,27,Business,james.fournier@student.edu
ST29531,Morel,Gabriel,24,Business,gabriel.morel@student.edu
ST29422,Morel,Jack,30,Commerce International,jack.morel@student.edu
ST21559,Garcia,Henry,28,Finance,henry.garcia@student.edu
ST26941,Girard,Jules,35,Cybersécurité,jules.girard@student.edu
ST22768,Laurent,Emma,32,Commerce International,emma.laurent@student.edu
ST27254,Michel,Alice,25,Entrepreneuriat,alice.michel@student.edu
ST27766,Richard,Clara,20,Intelligence Artificielle,clara.richard@student.edu
ST29688,Johnson,Charlotte,19,Marketing Digital,charlotte.johnson@student.edu
ST27884,Moore,Harper,33,Cybersécurité,harper.moore@student.edu
ST26243,Laurent,Abigail,18,Commerce International,abigail.laurent@student.edu
ST27174,Moore,Clara,34,Cybersécurité,clara.moore@student.edu
ST22048,Garnier,Alice,28,Business,alice.garnier@student.edu
ST27930,Miller,Sofia,35,Data Science,sofia.miller@student.edu
ST20994,Morel,Lucas,24,Data Science,lucas.morel@student.edu
ST21749,Anderson,Oliver,31,Innovation Technologique,oliver.anderson@student.edu
ST28466,Miller,Inès,32,Business,inès.miller@student.edu
ST28403,Anderson,Evelyn,21,Management International,evelyn.anderson@student.edu
ST20183,Morel,Camille,18,Entrepreneuriat,camille.morel@student.edu
ST21876,Faure,Charlotte,31,Intelligence Artificielle,charlotte.faure@student.edu
ST23465,Simon,Liam,21,Cybersécurité,liam.simon@student.edu
ST29907,Moreau,Noah,35,Intelligence Artificielle,noah.moreau@student.edu
ST23578,Fournier,Noah,26,Finance,noah.fournier@student.edu
ST22680,Durand,Camille,21,Entrepreneuriat,camille.durand@student.edu
ST27102,Garcia,Noah,23,Entrepreneuriat,noah.garcia@student.edu
ST28758,Laurent,Lucas,35,Finance,lucas.laurent@student.edu
ST21946,Durand,Arthur,34,Marketing Digital,arthur.durand@student.edu
ST28186,Michel,Liam,20,Management International,liam.michel@student.edu
ST27230,Robert,Sarah,24,Entrepreneuriat,sarah.robert@student.edu
ST26778,Bernard,Sarah,29,Finance,sarah.bernard@student.edu
ST25156,Anderson,Chloé,32,Marketing Digital,chloé.anderson@student.edu
ST20910,Wilson,Emma,35,Finance,emma.wilson@student.edu
ST27037,Moreau,Jack,33,Cybersécurité,jack.moreau@student.edu
ST24187,Laurent,Arthur,25,Entrepreneuriat,arthur.laurent@student.edu
ST22849,Thomas,Noah,34,Marketing Digital,noah.thomas@student.edu
ST28207,Martinez,Harper,29,Management International,harper.martinez@student.edu
ST27008,David,Clara,34,Data Science,clara.david@student.edu
ST20992,Davis,Clara,24,Finance,clara.davis@student.edu
ST20735,Brown,Sarah,28,Marketing Digital,sarah.brown@student.edu
ST26712,Moore,Nathan,20,Commerce International,nathan.moore@student.edu
ST25899,Fournier,Liam,19,Finance,liam.fournier@student.edu
ST25395,Anderson,Chloé,26,Commerce International,chloé.anderson@student.edu
ST23316,Mercier,William,24,Management International,william.mercier@student.edu
ST20096,François,Henry,18,Finance,henry.françois@student.edu
ST20795,Miller,Léa,31,Intelligence Artificielle,léa.miller@student.edu
ST22859,Moreau,Theodore,30,Finance,theodore.moreau@student.edu
ST27607,Faure,James,22,Commerce International,james.faure@student.edu
ST21754,Simon,Clara,35,Finance,clara.simon@student.edu
ST22829,David,Benjamin,34,Finance,benjamin.david@student.edu
ST29714,François,Harper,21,Finance,harper.françois@student.edu
ST20595,Lefevre,William,22,Data Science,william.lefevre@student.edu
ST27954,Bertrand,Lucas,20,Cybersécurité,lucas.bertrand@student.edu
ST27594,Roux,Henry,18,Business,henry.roux@student.edu
ST29418,Simon,Sophia,18,Intelligence Artificielle,sophia.simon@student.edu
ST25064,Jones,Hugo,34,Finance,hugo.jones@student.edu
ST23445,Mercier,Gabriel,19,Cybersécurité,gabriel.mercier@student.edu
ST23359,Mercier,Nathan,21,Intelligence Artificielle,nathan.mercier@student.edu
ST21245,Faure,Abigail,24,Cybersécurité,abigail.faure@student.edu
ST26898,Garnier,Chloé,29,Business,chloé.garnier@student.edu
ST20341,Moore,Chloé,29,Management International,chloé.moore@student.edu
ST29093,Davis,Léo,18,Innovation Technologique,léo.davis@student.edu
ST21524,Garcia,Louis,30,Data Science,louis.garcia@student.edu
ST22046,Lefebvre,James,34,Intelligence Artificielle,james.lefebvre@student.edu
ST25496,Thomas,Henry,25,Commerce International,henry.thomas@student.edu
ST27657,Simon,Jack,20,Cybersécurité,jack.simon@student.edu
ST21775,Simon,Oliver,22,Intelligence Artificielle,oliver.simon@student.edu
ST28744,Bernard,Oliver,35,Commerce International,oliver.bernard@student.edu
ST29536,Garcia,Hugo,32,Intelligence Artificielle,hugo.garcia@student.edu
ST27191,Lefevre,Louis,31,Management International,louis.lefevre@student.edu
ST27112,Girard,Léa,28,Data Science,léa.girard@student.edu
ST21068,Michel,Alice,20,Commerce International,alice.michel@student.edu
ST26815,Robert,Chloé,19,Entrepreneuriat,chloé.robert@student.edu
ST29832,Taylor,Liam,18,Finance,liam.taylor@student.edu
ST29221,Robert,Theodore,35,Innovation Technologique,theodore.robert@student.edu
ST29563,Andre,Camille,32,Finance,camille.andre@student.edu
ST24523,Laurent,Louise,34,Business,louise.laurent@student.edu
ST21454,Girard,Emma,18,Data Science,emma.girard@student.edu
ST28362,Brown,Emma,25,Cybersécurité,emma.brown@student.edu
ST26355,Brown,Nathan,29,Marketing Digital,nathan.brown@student.edu
ST27089,Durand,Amelia,27,Cybersécurité,amelia.durand@student.edu
ST25176,Girard,Chloé,20,Intelligence Artificielle,chloé.girard@student.edu
ST29756,Lefevre,William,30,Commerce International,william.lefevre@student.edu
ST26395,Wilson,Léo,33,Management International,léo.wilson@student.edu
ST26208,Fournier,Nathan,20,Cybersécurité,nathan.fournier@student.edu
ST21570,Mercier,Arthur,18,Business,arthur.mercier@student.edu
ST20491,Moreau,Abigail,18,Management International,abigail.moreau@student.edu
ST21058,Brown,Ethan,27,Entrepreneuriat,ethan.brown@student.edu
ST28275,Lefevre,Jack,33,Marketing Digital,jack.lefevre@student.edu
ST23323,François,Adam,25,Intelligence Artificielle,adam.françois@student.edu
ST21901,Dubois,Hugo,25,Data Science,hugo.dubois@student.edu
ST20795,Brown,Mia,27,Finance,mia.brown@student.edu
ST28342,Laurent,Nathan,24,Marketing Digital,nathan.laurent@student.edu
ST25621,Durand,Harper,19,Data Science,harper.durand@student.edu
ST26654,Robert,Charlotte,32,Intelligence Artificielle,charlotte.robert@student.edu
ST24886,Girard,Elijah,27,Marketing Digital,elijah.girard@student.edu
ST20498,Simon,William,27,Business,william.simon@student.edu
ST23268,Girard,Amelia,22,Innovation Technologique,amelia.girard@student.edu
ST22860,Simon,Sophia,25,Data Science,sophia.simon@student.edu
ST24428,David,Liam,34,Marketing Digital,liam.david@student.edu
ST22700,Martin,Emma,27,Commerce International,emma.martin@student.edu
ST27432,Bertrand,Theodore,20,Commerce International,theodore.bertrand@student.edu
ST23809,Johnson,Elijah,20,Marketing Digital,elijah.johnson@student.edu
ST24201,Laurent,Léa,23,Commerce International,léa.laurent@student.edu
ST27574,Bertrand,Benjamin,29,Commerce International,benjamin.bertrand@student.edu
ST22195,Dubois,Hugo,26,Innovation Technologique,hugo.dubois@student.edu
ST20410,David,William,35,Innovation Technologique,william.david@student.edu
ST22722,Anderson,Manon,18,Business,manon.anderson@student.edu
ST24262,Moreau,Amelia,30,Business,amelia.moreau@student.edu
ST22511,Moore,Alice,19,Marketing Digital,alice.moore@student.edu
ST24010,Durand,James,35,Intelligence Artificielle,james.durand@student.edu
ST24112,Johnson,Sophia,25,Data Science,sophia.johnson@student.edu
ST23396,Mercier,William,22,Management International,william.mercier@student.edu
ST22133,Anderson,Mia,32,Commerce International,mia.anderson@student.edu
ST24275,David,Alice,20,Data Science,alice.david@student.edu
ST29369,Davis,Isabella,33,Management International,isabella.davis@student.edu
ST21379,Taylor,Alice,21,Cybersécurité,alice.taylor@student.edu
ST23153,Martinez,Ethan,28,Entrepreneuriat,ethan.martinez@student.edu
ST26165,Moore,Jules,27,Cybersécurité,jules.moore@student.edu
ST26145,François,Benjamin,34,Data Science,benjamin.françois@student.edu
ST27131,Martinez,Inès,32,Commerce International,inès.martinez@student.edu
ST26302,Johnson,Abigail,28,Management International,abigail.johnson@student.edu
ST20589,Moreau,Charlotte,19,Marketing Digital,charlotte.moreau@student.edu
ST27113,Andre,Mia,33,Finance,mia.andre@student.edu
ST25029,Martin,Sophia,22,Data Science,sophia.martin@student.edu
ST22244,Lefebvre,Lucas,34,Finance,lucas.lefebvre@student.edu
ST25887,Jones,Abigail,23,Intelligence Artificielle,abigail.jones@student.edu
ST27842,Andre,Léa,30,Entrepreneuriat,léa.andre@student.edu
ST23280,Moore,Abigail,28,Data Science,abigail.moore@student.edu
ST29050,Roux,Henry,32,Marketing Digital,henry.roux@student.edu
ST20195,Laurent,Inès,18,Intelligence Artificielle,inès.laurent@student.edu
ST28433,Bonnet,Liam,35,Business,liam.bonnet@student.edu
ST23150,Taylor,Inès,35,Intelligence Artificielle,inès.taylor@student.edu
ST25627,Simon,Lucas,28,Innovation Technologique,lucas.simon@student.edu
ST26897,Michel,Isabella,32,Marketing Digital,isabella.michel@student.edu
ST28310,Jones,Evelyn,32,Management International,evelyn.jones@student.edu
ST24184,Morel,Emma,28,Marketing Digital,emma.morel@student.edu
ST28053,Fournier,Evelyn,27,Entrepreneuriat,evelyn.fournier@student.edu
ST21815,Durand,Hugo,35,Business,hugo.durand@student.edu
ST29921,Brown,Evelyn,28,Commerce International,evelyn.brown@student.edu
ST28758,Vincent,Nathan,26,Finance,nathan.vincent@student.edu
ST23092,Garnier,Arthur,18,Business,arthur.garnier@student.edu
ST29957,Garcia,Olivia,18,Marketing Digital,olivia.garcia@student.edu
ST20397,Simon,Elijah,30,Entrepreneuriat,elijah.simon@student.edu
ST21047,Roux,Olivia,23,Cybersécurité,olivia.roux@student.edu
ST20013,Jones,Léo,26,Data Science,léo.jones@student.edu
ST23322,Andre,Benjamin,21,Management International,benjamin.andre@student.edu
ST21568,Martinez,Jack,31,Intelligence Artificielle,jack.martinez@student.edu
ST29325,Moore,Léo,19,Marketing Digital,léo.moore@student.edu
ST26394,Bernard,Lucas,29,Management International,lucas.bernard@student.edu
ST23123,Andre,Léa,24,Innovation Technologique,léa.andre@student.edu
ST25172,Legrand,Camille,18,Business,camille.legrand@student.edu
ST24293,Lefebvre,Sofia,20,Data Science,sofia.lefebvre@student.edu
ST25504,François,Louis,31,Business,louis.françois@student.edu
ST25856,Moreau,Adam,32,Marketing Digital,adam.moreau@student.edu
ST22200,Girard,Gabriel,24,Finance,gabriel.girard@student.edu
ST27939,Laurent,Jules,28,Cybersécurité,jules.laurent@student.edu
ST22454,Garcia,Olivia,32,Management International,olivia.garcia@student.edu
ST21475,Vincent,Benjamin,35,Finance,benjamin.vincent@student.edu
ST21969,Brown,Oliver,18,Data Science,oliver.brown@student.edu
ST27696,Mercier,Louis,18,Innovation Technologique,louis.mercier@student.edu
ST26806,Legrand,Sarah,23,Business,sarah.legrand@student.edu
ST27197,Bertrand,Sarah,33,Innovation Technologique,sarah.bertrand@student.edu
ST27151,Michel,Benjamin,27,Commerce International,benjamin.michel@student.edu
ST26207,Michel,Benjamin,30,Data Science,benjamin.michel@student.edu
ST28270,Bertrand,Isabella,26,Data Science,isabella.bertrand@student.edu
ST27808,Girard,Liam,22,Cybersécurité,liam.girard@student.edu
ST20934,Legrand,Jack,21,Cybersécurité,jack.legrand@student.edu
ST28020,Jones,Arthur,35,Management International,arthur.jones@student.edu
ST29546,Williams,Henry,26,Data Science,henry.williams@student.edu
ST22030,Moreau,Jack,19,Commerce International,jack.moreau@student.edu
ST23752,Mercier,Harper,19,Data Science,harper.mercier@student.edu
ST29763,David,Lucas,34,Marketing Digital,lucas.david@student.edu
ST23726,François,Adam,27,Business,adam.françois@student.edu
ST22127,Williams,Léa,25,Commerce International,léa.williams@student.edu
ST21613,Robert,William,31,Finance,william.robert@student.edu
ST24905,Bonnet,Noah,25,Business,noah.bonnet@student.edu
ST24170,Johnson,Nathan,33,Finance,nathan.johnson@student.edu
ST21179,Girard,Sophia,18,Marketing Digital,sophia.girard@student.edu
ST21965,Girard,Chloé,27,Commerce International,chloé.girard@student.edu
ST23062,Williams,Henry,20,Finance,henry.williams@student.edu
ST22228,Garnier,Chloé,30,Finance,chloé.garnier@student.edu
ST21230,Fournier,Evelyn,21,Cybersécurité,evelyn.fournier@student.edu
ST20635,Garcia,William,31,Data Science,william.garcia@student.edu
ST28920,Lefevre,Sarah,35,Finance,sarah.lefevre@student.edu
ST29083,Legrand,Louis,29,Finance,louis.legrand@student.edu
ST25974,Jones,Manon,30,Commerce International,manon.jones@student.edu
ST27877,Johnson,Arthur,24,Cybersécurité,arthur.johnson@student.edu
ST27493,Johnson,Sarah,31,Commerce International,sarah.johnson@student.edu
ST27373,Bertrand,Jack,22,Entrepreneuriat,jack.bertrand@student.edu
ST26351,Bertrand,Léa,35,Data Science,léa.bertrand@student.edu
ST22555,Andre,Sarah,29,Finance,sarah.andre@student.edu
ST28324,Mercier,Theodore,30,Cybersécurité,theodore.mercier@student.edu
ST27186,Durand,Hugo,27,Management International,hugo.durand@student.edu
ST20254,Bonnet,Charlotte,35,Entrepreneuriat,charlotte.bonnet@student.edu
ST21850,Lefebvre,Ethan,20,Finance,ethan.lefebvre@student.edu
ST23686,Legrand,Clara,29,Finance,clara.legrand@student.edu
ST22538,David,Sarah,20,Management International,sarah.david@student.edu
ST29604,Miller,Lucas,21,Finance,lucas.miller@student.edu
ST25817,Moreau,Amelia,34,Commerce International,amelia.moreau@student.edu
ST23145,Moore,Inès,18,Marketing Digital,inès.moore@student.edu
ST26836,Legrand,Henry,29,Cybersécurité,henry.legrand@student.edu
ST20031,Lefebvre,Louis,18,Intelligence Artificielle,louis.lefebvre@student.edu
ST28952,Lefevre,Alice,34,Intelligence Artificielle,alice.lefevre@student.edu
ST21089,Moore,Alice,27,Management International,alice.moore@student.edu
ST22542,Garnier,Inès,32,Intelligence Artificielle,inès.garnier@student.edu
ST24814,Fournier,Camille,25,Marketing Digital,camille.fournier@student.edu
ST28523,Vincent,Gabriel,25,Business,gabriel.vincent@student.edu
ST29083,Moore,Olivia,29,Data Science,olivia.moore@student.edu
ST23615,Taylor,Clara,27,Management International,clara.taylor@student.edu
ST25998,Laurent,Elijah,27,Innovation Technologique,elijah.laurent@student.edu
ST28594,Andre,Harper,28,Marketing Digital,harper.andre@student.edu
ST29225,Bertrand,Louis,27,Entrepreneuriat,louis.bertrand@student.edu
ST23025,Garcia,James,26,Business,james.garcia@student.edu
ST22989,Bernard,Evelyn,32,Data Science,evelyn.bernard@student.edu
ST28392,Wilson,Louis,33,Management International,louis.wilson@student.edu
ST29069,Laurent,Noah,25,Finance,noah.laurent@student.edu
ST23284,Robert,Jules,25,Marketing Digital,jules.robert@student.edu
ST27874,Bertrand,Henry,21,Data Science,henry.bertrand@student.edu
ST22473,Johnson,Henry,22,Business,henry.johnson@student.edu
ST26697,Bertrand,Gabriel,30,Finance,gabriel.bertrand@student.edu
ST25309,Garcia,Benjamin,32,Finance,benjamin.garcia@student.edu
ST29628,Mercier,Hugo,25,Data Science,hugo.mercier@student.edu
ST27730,Robert,Inès,28,Entrepreneuriat,inès.robert@student.edu
ST23150,Jones,Ethan,21,Business,ethan.jones@student.edu
ST24487,David,Noah,23,Entrepreneuriat,noah.david@student.edu
ST23891,Girard,Chloé,34,Marketing Digital,chloé.girard@student.edu
ST28007,Thomas,Hugo,26,Cybersécurité,hugo.thomas@student.edu
ST21264,Richard,Inès,28,Entrepreneuriat,inès.richard@student.edu
ST27623,Miller,Léo,19,Cybersécurité,léo.miller@student.edu
ST20210,Petit,Jules,26,Intelligence Artificielle,jules.petit@student.edu
ST29962,François,Nathan,29,Finance,nathan.françois@student.edu
ST26247,Michel,Chloé,21,Innovation Technologique,chloé.michel@student.edu
ST28867,Taylor,Camille,34,Commerce International,camille.taylor@student.edu
ST28968,Davis,Oliver,22,Data Science,oliver.davis@student.edu
ST28303,Martin,Amelia,27,Entrepreneuriat,amelia.martin@student.edu
ST28632,Jones,Manon,25,Intelligence Artificielle,manon.jones@student.edu
ST29934,Vincent,Arthur,22,Finance,arthur.vincent@student.edu
ST22452,François,Elijah,24,Commerce International,elijah.françois@student.edu
ST24089,Bertrand,Louis,27,Finance,louis.bertrand@student.edu
ST28179,Davis,Alice,18,Business,alice.davis@student.edu
ST25703,Lefebvre,Manon,26,Finance,manon.lefebvre@student.edu
ST28301,Robert,Lucas,27,Data Science,lucas.robert@student.edu
ST27574,David,Benjamin,24,Management International,benjamin.david@student.edu
ST26472,Brown,Jules,23,Intelligence Artificielle,jules.brown@student.edu
ST29168,Bonnet,Liam,18,Marketing Digital,liam.bonnet@student.edu
